"Publication Date","Fiscal Year","Agency Name","Unit Appropriation Name","Total Adopted Budget Amount"
"20250501","2026","DEPARTMENT OF ENVIRONMENTAL PROTECT.","CENTRAL UTILITY","95,911,828"
"20250501","2026","DEPARTMENT OF ENVIRONMENTAL PROTECT.","EXECUTIVE & SUPPORT-OTPS","78,303,349"
"20250501","2026","DEPARTMENT OF ENVIRONMENTAL PROTECT.","ENVIRONMENTAL MANAGEMENT -OTPS","42,101,851"
"20250501","2026","DEPARTMENT OF ENVIRONMENTAL PROTECT.","UTILITY - OTPS","858,313,369"
"20250501","2026","DEPARTMENT OF ENVIRONMENTAL PROTECT.","WATER SUP. & WASTEWATER COLL","269,051,607"
"20250501","2026","DEPARTMENT OF ENVIRONMENTAL PROTECT.","ENVIRONMENTAL MANAGEMENT","26,908,602"
"20250501","2026","DEPARTMENT OF ENVIRONMENTAL PROTECT.","EXECUTIVE AND SUPPORT","64,015,732"
"20250501","2026","OFFICE OF ADMIN TRIALS & HEARINGS","OFFICE OF ADMIN. TRIALS & HEARINGS- OTPS","17,656,449"
"20250501","2026","OFFICE OF ADMIN TRIALS & HEARINGS","OFF OF ADM. TRIALS & HEARINGS","55,788,386"
"20250501","2026","HEALTH AND HOSPITALS CORP","LUMP SUM","3,155,936,837"
"20250501","2026","DEPARTMENT OF HEALTH AND MENTAL HYGIENE","ALCOHOL&DRUG USE PREVENT, CARE TREATMENT","150,824,571"
"20250501","2026","DEPARTMENT OF HEALTH AND MENTAL HYGIENE","DEVELOPMENT DISABILITY - OTPS","9,379,013"
"20250501","2026","DEPARTMENT OF HEALTH AND MENTAL HYGIENE","MENTAL HEALTH","518,432,182"
"20250501","2026","DEPARTMENT OF HEALTH AND MENTAL HYGIENE","EPIDEMIOLOGY - OTPS","10,068,278"
"20250501","2026","DEPARTMENT OF HEALTH AND MENTAL HYGIENE","MENTAL HYGIENE MANAGEMENT SERVICES- OTPS","54,676,186"
"20250501","2026","DEPARTMENT OF HEALTH AND MENTAL HYGIENE","CENTER FOR HLTH EQUITY&COMM WELLNESS-OTP","65,301,077"
"20250501","2026","DEPARTMENT OF HEALTH AND MENTAL HYGIENE","OFFICE OF CHIEF MEDICAL EXAMINER - OTPS","25,261,447"
"20250501","2026","DEPARTMENT OF HEALTH AND MENTAL HYGIENE","EARLY INTERVENTION - OTPS","254,170,395"
"20250501","2026","MAYORALTY","NYC COMM TO THE UN-PS","1,210,659"
"20250501","2026","MAYORALTY","OFF OF LABOR RELATIONS-OTPS","6,719,112"
"20250501","2026","MAYORALTY","OFF OF LABOR RELATIONS-PS","15,808,128"
"20250501","2026","MAYORALTY","CRIMINAL JUSTICE PROGRAMS PS","496,324"
"20250501","2026","MAYORALTY","OFFICE OF MGMT AND BUDGET-OTPS","13,148,266"
"20250501","2026","MAYORALTY","OFFICE OF MGMT AND BUDGET-PS","49,188,606"
"20250501","2026","MAYORALTY","OFFICE OF THE MAYOR-OTPS","4,478,587"
"20250501","2026","MAYORALTY","OFFICE OF THE MAYOR-PS","38,628,360"
"20250501","2026","DEPARTMENT OF HEALTH AND MENTAL HYGIENE","ENVIRONMENTAL HEALTH - OTPS","52,555,204"
"20250501","2026","DEPARTMENT OF HEALTH AND MENTAL HYGIENE","FAMILY & CHILD HEALTH - OTPS","63,896,520"
"20250501","2026","DEPARTMENT OF HEALTH AND MENTAL HYGIENE","DISEASE CONTROL - OTPS","236,077,000"
"20250501","2026","DEPARTMENT OF HEALTH AND MENTAL HYGIENE","HEALTH ADMINISTRATION - OTPS","184,828,829"
"20250501","2026","DEPARTMENT OF HEALTH AND MENTAL HYGIENE","EPIDEMIOLOGY - PS","22,324,851"
"20250501","2026","DEPARTMENT OF HEALTH AND MENTAL HYGIENE","MENTAL HYGIENE MANAGEMENT SERVICES - PS","59,339,630"
"20250501","2026","DEPARTMENT OF HEALTH AND MENTAL HYGIENE","CENTER FOR HLTH EQUITY& COMM WELLNESS-PS","26,711,675"
"20250501","2026","DEPARTMENT OF HEALTH AND MENTAL HYGIENE","OFFICE OF CHIEF MEDICAL EXAMINER - PS","79,081,771"
"20250501","2026","DEPARTMENT OF HEALTH AND MENTAL HYGIENE","EARLY INTERVENTION - PS","19,598,814"
"20250501","2026","DEPARTMENT OF HEALTH AND MENTAL HYGIENE","ENVIRONMENTAL HEALTH - PS","79,006,095"
"20250501","2026","DEPARTMENT OF HEALTH AND MENTAL HYGIENE","FAMILY & CHILD HEALTH - PS","140,167,745"
"20250501","2026","DEPARTMENT OF HEALTH AND MENTAL HYGIENE","DISEASE CONTROL - PS","117,207,321"
"20250501","2026","DEPARTMENT OF HEALTH AND MENTAL HYGIENE","HEALTH ADMINISTRATION - PS","63,218,998"
"20250501","2026","DEPARTMENT OF BUILDINGS","SUSTAINABILITY OTPS","2,356,200"
"20250501","2026","DEPARTMENT OF BUILDINGS","SUSTAINABILITY PERSONAL SERVICES","11,728,359"
"20250501","2026","DEPARTMENT OF BUILDINGS","ENFORCEMENT AND DEVELOPMENT - OTPS","9,293,832"
"20250501","2026","DEPARTMENT OF BUILDINGS","ENFORCEMENT AND DEVELOPMENT - PS","44,403,047"
"20250501","2026","DEPARTMENT OF BUILDINGS","AGENCYWIDE OPERATIONS - OTPS","43,463,519"
"20250501","2026","DEPARTMENT OF BUILDINGS","AGENCYWIDE OPERATIONS - PS","101,166,067"
"20250501","2026","HOUSING PRESERVATION AND DEVELOPMENT","EMERGENCY SHELTER OPERATIONS","595,139,964"
"20250501","2026","HOUSING PRESERVATION AND DEVELOPMENT","RENTAL SUBSIDY PROGRAMS - OTPS","644,840,276"
"20250501","2026","HOUSING PRESERVATION AND DEVELOPMENT","CITY ASSISTANCE TO NYC HOUSING AUTHORITY","406,887,387"
"20250501","2026","HOUSING PRESERVATION AND DEVELOPMENT","OFFICE OF HOUSING PRESERVATION","52,003,944"
"20250501","2026","HOUSING PRESERVATION AND DEVELOPMENT","HOUSING MANAGEMENT AND SALES","11,490,452"
"20250501","2026","HOUSING PRESERVATION AND DEVELOPMENT","OFFICE OF DEVELOPMENT OTPS","36,169,775"
"20250501","2026","HOUSING PRESERVATION AND DEVELOPMENT","OFFICE OF ADMINISTRATION OTPS","14,137,206"
"20250501","2026","HOUSING PRESERVATION AND DEVELOPMENT","HOUSING MAINTENANCE AND SALES","25,393,847"
"20250501","2026","HOUSING PRESERVATION AND DEVELOPMENT","OFFICE OF HOUSING PRESERVATION","80,311,424"
"20250501","2026","HOUSING PRESERVATION AND DEVELOPMENT","RENTAL SUBSIDY PROGRAMS - PS","26,468,279"
"20250501","2026","HOUSING PRESERVATION AND DEVELOPMENT","OFFICE OF DEVELOPMENT","38,665,107"
"20250501","2026","HOUSING PRESERVATION AND DEVELOPMENT","OFFICE OF ADMINISTRATION","61,613,680"
"20250501","2026","DEPARTMENT OF SMALL BUSINESS SERVICES","TRUST FOR GOVERNOR'S ISLAND AND NYC & CO","36,459,191"
"20250501","2026","DEPARTMENT OF SMALL BUSINESS SERVICES","WORKFORCE INVESTMENT ACT - OTPS","67,362,767"
"20250501","2026","DEPARTMENT OF SMALL BUSINESS SERVICES","WORKFORCE INVESTMENT ACT - PS","11,365,942"
"20250501","2026","DEPARTMENT OF SMALL BUSINESS SERVICES","ECONOMIC DEVELOPMENT CORP.","72,360,258"
"20250501","2026","DEPARTMENT OF SMALL BUSINESS SERVICES","CONTRACT COMP & BUS OPP - OTPS","9,401,694"
"20250501","2026","DEPARTMENT OF SMALL BUSINESS SERVICES","CONTRACT COMP & BUS. OPP - PS","3,996,153"
"20250501","2026","DEPARTMENT OF SMALL BUSINESS SERVICES","DEPT. OF BUSINESS O.T.P.S.","50,709,592"
"20250501","2026","DEPARTMENT OF SMALL BUSINESS SERVICES","DEPT. OF BUSINESS P.S.","20,828,665"
"20250501","2026","DEPARTMENT OF PROBATION","EXECUTIVE MANAGEMENT - OTPS","125,553"
"20250501","2026","DEPARTMENT OF PROBATION","PROBATION SERVICES-OTPS","41,153,202"
"20250501","2026","DEPARTMENT OF PROBATION","PROBATION SERVICES","60,991,703"
"20250501","2026","DEPARTMENT OF PROBATION","EXECUTIVE MANAGEMENT","11,657,864"
"20250501","2026","STATEN ISLAND COMMUNITY BOARD #3","RENT AND ENERGY","130,911"
"20250501","2026","STATEN ISLAND COMMUNITY BOARD #3","OTHER THAN PERSONAL SERVICES","10,513"
"20250501","2026","STATEN ISLAND COMMUNITY BOARD #3","PERSONAL SERVICES","279,603"
"20250501","2026","STATEN ISLAND COMMUNITY BOARD #2","RENT","40,002"
"20250501","2026","STATEN ISLAND COMMUNITY BOARD #2","OTHER THAN PERSONAL SERVICES","16,055"
"20250501","2026","STATEN ISLAND COMMUNITY BOARD #2","PERSONAL SERVICES","264,305"
"20250501","2026","STATEN ISLAND COMMUNITY BOARD #1","RENT","68,215"
"20250501","2026","STATEN ISLAND COMMUNITY BOARD #1","OTHER THAN PERSONAL SERVICES","13,212"
"20250501","2026","DEPARTMENT OF PARKS AND RECREATION","URBAN PARK SERVICE","0"
"20250501","2026","STATEN ISLAND COMMUNITY BOARD #1","PERSONAL SERVICES","277,235"
"20250501","2026","BROOKLYN COMMUNITY BOARD #18","OTHER THAN PERSONAL SERVICES","40,392"
"20250501","2026","BROOKLYN COMMUNITY BOARD #18","PERSONAL SERVICES","245,119"
"20250501","2026","BROOKLYN COMMUNITY BOARD #17","RENT AND ENERGY","105,660"
"20250501","2026","BROOKLYN COMMUNITY BOARD #17","OTHER THAN PERSONAL SERVICES","16,787"
"20250501","2026","BROOKLYN COMMUNITY BOARD #17","PERSONAL SERVICES","271,199"
"20250501","2026","BROOKLYN COMMUNITY BOARD #16","RENT","34,403"
"20250501","2026","BROOKLYN COMMUNITY BOARD #16","OTHER THAN PERSONAL SERVICES","35,622"
"20250501","2026","BROOKLYN COMMUNITY BOARD #16","PERSONAL SERVICES","239,108"
"20250501","2026","BROOKLYN COMMUNITY BOARD #15","OTHER THAN PERSONAL SERVICES","46,186"
"20250501","2026","BROOKLYN COMMUNITY BOARD #15","PERSONAL SERVICES","230,263"
"20250501","2026","BROOKLYN COMMUNITY BOARD #14","RENT AND ENERGY","267,510"
"20250501","2026","BROOKLYN COMMUNITY BOARD #14","OTHER THAN PERSONAL SERVICES","21,182"
"20250501","2026","BROOKLYN COMMUNITY BOARD #14","PERSONAL SERVICES","271,750"
"20250501","2026","BROOKLYN COMMUNITY BOARD #13","RENT","78,358"
"20250501","2026","BROOKLYN COMMUNITY BOARD #13","OTHER THAN PERSONAL SERVICES","20,941"
"20250501","2026","BROOKLYN COMMUNITY BOARD #13","PERSONAL SERVICES","267,973"
"20250501","2026","BROOKLYN COMMUNITY BOARD #12","RENT AND ENERGY","86,223"
"20250501","2026","BROOKLYN COMMUNITY BOARD #12","OTHER THAN PERSONAL SERVICES","28,656"
"20250501","2026","BROOKLYN COMMUNITY BOARD #12","PERSONAL SERVICES","257,581"
"20250501","2026","BROOKLYN COMMUNITY BOARD #11","RENT AND ENERGY","74,920"
"20250501","2026","BROOKLYN COMMUNITY BOARD #11","OTHER THAN PERSONAL SERVICES","39,951"
"20250501","2026","BROOKLYN COMMUNITY BOARD #11","PERSONAL SERVICES","243,338"
"20250501","2026","BROOKLYN COMMUNITY BOARD #10","RENT AND ENERGY","92,814"
"20250501","2026","BROOKLYN COMMUNITY BOARD #10","OTHER THAN PERSONAL SERVICES","19,178"
"20250501","2026","BROOKLYN COMMUNITY BOARD #10","PERSONAL SERVICES","270,947"
"20250501","2026","BROOKLYN COMMUNITY BOARD #9","RENT AND ENERGY","117,209"
"20250501","2026","BROOKLYN COMMUNITY BOARD #9","OTHER THAN PERSONAL SERVICES","42,226"
"20250501","2026","BROOKLYN COMMUNITY BOARD #9","PERSONAL SERVICES","251,212"
"20250501","2026","BROOKLYN COMMUNITY BOARD #8","RENT AND ENERGY","82,283"
"20250501","2026","BROOKLYN COMMUNITY BOARD #8","OTHER THAN PERSONAL SERVICES","25,768"
"20250501","2026","BROOKLYN COMMUNITY BOARD #8","PERSONAL SERVICES","263,652"
"20250501","2026","BROOKLYN COMMUNITY BOARD #7","OTHER THAN PERSONAL SERVICES","23,199"
"20250501","2026","BROOKLYN COMMUNITY BOARD #7","PERSONAL SERVICES","270,662"
"20250501","2026","BROOKLYN COMMUNITY BOARD #6","RENT","108,655"
"20250501","2026","BROOKLYN COMMUNITY BOARD #6","OTHER THAN PERSONAL SERVICES","14,276"
"20250501","2026","BROOKLYN COMMUNITY BOARD #6","PERSONAL SERVICES","270,618"
"20250501","2026","BROOKLYN COMMUNITY BOARD #5","OTHER THAN PERSONAL SERVICES","18,045"
"20250501","2026","BROOKLYN COMMUNITY BOARD #5","PERSONAL SERVICES","268,961"
"20250501","2026","BROOKLYN COMMUNITY BOARD #4","RENT","57,704"
"20250501","2026","BROOKLYN COMMUNITY BOARD #4","OTHER THAN PERSONAL SERVICES","31,407"
"20250501","2026","BROOKLYN COMMUNITY BOARD #4","PERSONAL SERVICES","251,705"
"20250501","2026","BROOKLYN COMMUNITY BOARD #3","RENT AND ENERGY","51,827"
"20250501","2026","BROOKLYN COMMUNITY BOARD #3","OTHER THAN PERSONAL SERVICES","42,114"
"20250501","2026","BROOKLYN COMMUNITY BOARD #3","PERSONAL SERVICES","224,080"
"20250501","2026","BROOKLYN COMMUNITY BOARD #2","RENT","78,947"
"20250501","2026","BROOKLYN COMMUNITY BOARD #2","OTHER THAN PERSONAL SERVICES","13,856"
"20250501","2026","BROOKLYN COMMUNITY BOARD #2","PERSONAL SERVICES","268,514"
"20250501","2026","BROOKLYN COMMUNITY BOARD #1","RENT AND ENERGY","111,759"
"20250501","2026","BROOKLYN COMMUNITY BOARD #1","OTHER THAN PERSONAL SERVICES","10,196"
"20250501","2026","BROOKLYN COMMUNITY BOARD #1","PERSONAL SERVICES","266,186"
"20250501","2026","QUEENS COMMUNITY BOARD #14","RENT AND ENERGY","35,930"
"20250501","2026","QUEENS COMMUNITY BOARD #14","OTHER THAN PERSONAL SERVICES","21,290"
"20250501","2026","QUEENS COMMUNITY BOARD #14","PERSONAL SERVICES","246,113"
"20250501","2026","QUEENS COMMUNITY BOARD #13","RENT","67,262"
"20250501","2026","QUEENS COMMUNITY BOARD #13","OTHER THAN PERSONAL SERVICES","26,409"
"20250501","2026","QUEENS COMMUNITY BOARD #13","PERSONAL SERVICES","250,749"
"20250501","2026","QUEENS COMMUNITY BOARD #12","RENT AND ENERGY","70,492"
"20250501","2026","QUEENS COMMUNITY BOARD #12","OTHER THAN PERSONAL SERVICES","18,346"
"20250501","2026","QUEENS COMMUNITY BOARD #12","PERSONAL SERVICES","266,741"
"20250501","2026","QUEENS COMMUNITY BOARD #11","RENT","84,860"
"20250501","2026","QUEENS COMMUNITY BOARD #11","OTHER THAN PERSONAL SERVICES","17,852"
"20250501","2026","QUEENS COMMUNITY BOARD #11","PERSONAL SERVICES","269,338"
"20250501","2026","QUEENS COMMUNITY BOARD #10","RENT","53,129"
"20250501","2026","QUEENS COMMUNITY BOARD #10","OTHER THAN PERSONAL SERVICES","20,210"
"20250501","2026","QUEENS COMMUNITY BOARD #10","PERSONAL SERVICES","256,475"
"20250501","2026","QUEENS COMMUNITY BOARD #9","RENT AND ENERGY","5,801"
"20250501","2026","QUEENS COMMUNITY BOARD #9","OTHER THAN PERSONAL SERVICES","29,706"
"20250501","2026","QUEENS COMMUNITY BOARD #9","PERSONAL SERVICES","251,062"
"20250501","2026","QUEENS COMMUNITY BOARD #8","RENT","94,169"
"20250501","2026","QUEENS COMMUNITY BOARD #8","OTHER THAN PERSONAL SERVICES","10,028"
"20250501","2026","QUEENS COMMUNITY BOARD #8","PERSONAL SERVICES","272,094"
"20250501","2026","QUEENS COMMUNITY BOARD #7","RENT","102,770"
"20250501","2026","QUEENS COMMUNITY BOARD #7","OTHER THAN PERSONAL SERVICES","8,029"
"20250501","2026","QUEENS COMMUNITY BOARD #7","PERSONAL SERVICES","277,380"
"20250501","2026","QUEENS COMMUNITY BOARD #6","RENT AND ENERGY","79,431"
"20250501","2026","QUEENS COMMUNITY BOARD #6","OTHER THAN PERSONAL SERVICES","9,240"
"20250501","2026","QUEENS COMMUNITY BOARD #6","PERSONAL SERVICES","281,479"
"20250501","2026","QUEENS COMMUNITY BOARD #5","RENT AND ENERGY","48,569"
"20250501","2026","QUEENS COMMUNITY BOARD #5","OTHER THAN PERSONAL SERVICES","21,585"
"20250501","2026","QUEENS COMMUNITY BOARD #5","PERSONAL SERVICES","272,705"
"20250501","2026","QUEENS COMMUNITY BOARD #4","RENT AND ENERGY","51,648"
"20250501","2026","QUEENS COMMUNITY BOARD #4","OTHER THAN PERSONAL SERVICES","23,997"
"20250501","2026","QUEENS COMMUNITY BOARD #4","PERSONAL SERVICES","277,214"
"20250501","2026","QUEENS COMMUNITY BOARD #3","RENT","98,012"
"20250501","2026","QUEENS COMMUNITY BOARD #3","OTHER THAN PERSONAL SERVICES","26,281"
"20250501","2026","QUEENS COMMUNITY BOARD #3","PERSONAL SERVICES","264,468"
"20250501","2026","QUEENS COMMUNITY BOARD #2","RENT","123,680"
"20250501","2026","QUEENS COMMUNITY BOARD #2","OTHER THAN PERSONAL SERVICES","17,410"
"20250501","2026","QUEENS COMMUNITY BOARD #2","PERSONAL SERVICES","268,879"
"20250501","2026","QUEENS COMMUNITY BOARD #1","RENT","50,779"
"20250501","2026","QUEENS COMMUNITY BOARD #1","OTHER THAN PERSONAL SERVICES","46,270"
"20250501","2026","QUEENS COMMUNITY BOARD #1","PERSONAL SERVICES","238,557"
"20250501","2026","BRONX COMMUNITY BOARD #12","OTHER THAN PERSONAL SERVICES","25,007"
"20250501","2026","BRONX COMMUNITY BOARD #12","PERSONAL SERVICES","268,605"
"20250501","2026","BRONX COMMUNITY BOARD #11","RENT","68,014"
"20250501","2026","BRONX COMMUNITY BOARD #11","OTHER THAN PERSONAL SERVICES","14,255"
"20250501","2026","BRONX COMMUNITY BOARD #11","PERSONAL SERVICES","280,951"
"20250501","2026","BRONX COMMUNITY BOARD #10","RENT AND ENERGY","82,494"
"20250501","2026","BRONX COMMUNITY BOARD #10","OTHER THAN PERSONAL SERVICES","30,870"
"20250501","2026","BRONX COMMUNITY BOARD #10","PERSONAL SERVICES","261,238"
"20250501","2026","BRONX COMMUNITY BOARD #9","RENT","83,787"
"20250501","2026","BRONX COMMUNITY BOARD #9","OTHER THAN PERSONAL SERVICES","5,553"
"20250501","2026","BRONX COMMUNITY BOARD #9","PERSONAL SERVICES","286,429"
"20250501","2026","BRONX COMMUNITY BOARD #8","RENT AND ENERGY","83,061"
"20250501","2026","BRONX COMMUNITY BOARD #8","OTHER THAN PERSONAL SERVICES","2,484"
"20250501","2026","BRONX COMMUNITY BOARD #8","PERSONAL SERVICES","275,232"
"20250501","2026","BRONX COMMUNITY BOARD #7","RENT AND ENERGY","170,360"
"20250501","2026","BRONX COMMUNITY BOARD #7","OTHER THAN PERSONAL SERVICES","29,263"
"20250501","2026","BRONX COMMUNITY BOARD #7","PERSONAL SERVICES","256,788"
"20250501","2026","BRONX COMMUNITY BOARD #6","OTHER THAN PERSONAL SERVICES","22,127"
"20250501","2026","BRONX COMMUNITY BOARD #6","PERSONAL SERVICES","269,370"
"20250501","2026","BRONX COMMUNITY BOARD #5","OTHER THAN PERSONAL SERVICES","22,833"
"20250501","2026","BRONX COMMUNITY BOARD #5","PERSONAL SERVICES","265,124"
"20250501","2026","BRONX COMMUNITY BOARD #4","RENT","7,502"
"20250501","2026","BRONX COMMUNITY BOARD #4","OTHER THAN PERSONAL SERVICES","19,794"
"20250501","2026","BRONX COMMUNITY BOARD #4","PERSONAL SERVICES","274,727"
"20250501","2026","BRONX COMMUNITY BOARD #3","RENT","62,652"
"20250501","2026","BRONX COMMUNITY BOARD #3","OTHER THAN PERSONAL SERVICES","14,626"
"20250501","2026","BRONX COMMUNITY BOARD #3","PERSONAL SERVICES","258,682"
"20250501","2026","BRONX COMMUNITY BOARD #2","RENT AND ENERGY","67,020"
"20250501","2026","BRONX COMMUNITY BOARD #2","OTHER THAN PERSONAL SERVICES","57,085"
"20250501","2026","BRONX COMMUNITY BOARD #2","PERSONAL SERVICES","248,659"
"20250501","2026","BRONX COMMUNITY BOARD #1","RENT","72,537"
"20250501","2026","BRONX COMMUNITY BOARD #1","OTHER THAN PERSONAL SERVICES","25,281"
"20250501","2026","BRONX COMMUNITY BOARD #1","PERSONAL SERVICES","262,701"
"20250501","2026","MANHATTAN COMMUNITY BOARD #12","RENT","134,283"
"20250501","2026","MANHATTAN COMMUNITY BOARD #12","OTHER THAN PERSONAL SERVICES","35,261"
"20250501","2026","MANHATTAN COMMUNITY BOARD #12","PERSONAL SERVICES","261,997"
"20250501","2026","MANHATTAN COMMUNITY BOARD #11","RENT AND ENERGY","95,433"
"20250501","2026","MANHATTAN COMMUNITY BOARD #11","OTHER THAN PERSONAL SERVICES","31,453"
"20250501","2026","MANHATTAN COMMUNITY BOARD #11","PERSONAL SERVICES","270,236"
"20250501","2026","MANHATTAN COMMUNITY BOARD #10","RENT","173,339"
"20250501","2026","MANHATTAN COMMUNITY BOARD #10","OTHER THAN PERSONAL SERVICES","34,375"
"20250501","2026","MANHATTAN COMMUNITY BOARD #10","PERSONAL SERVICES","245,570"
"20250501","2026","MANHATTAN COMMUNITY BOARD #9","RENT AND ENERGY","134,439"
"20250501","2026","MANHATTAN COMMUNITY BOARD #9","OTHER THAN PERSONAL SERVICES","46,327"
"20250501","2026","MANHATTAN COMMUNITY BOARD #9","PERSONAL SERVICES","246,630"
"20250501","2026","MANHATTAN COMMUNITY BOARD #8","RENT AND ENERGY","160,803"
"20250501","2026","MANHATTAN COMMUNITY BOARD #8","OTHER THAN PERSONAL SERVICES","28,554"
"20250501","2026","MANHATTAN COMMUNITY BOARD #8","PERSONAL SERVICES","276,318"
"20250501","2026","MANHATTAN COMMUNITY BOARD #7","RENT","136,171"
"20250501","2026","MANHATTAN COMMUNITY BOARD #7","OTHER THAN PERSONAL SERVICES","18,515"
"20250501","2026","MANHATTAN COMMUNITY BOARD #7","PERSONAL SERVICES","277,318"
"20250501","2026","MANHATTAN COMMUNITY BOARD #6","RENT","177,907"
"20250501","2026","MANHATTAN COMMUNITY BOARD #6","OTHER THAN PERSONAL SERVICES","19,974"
"20250501","2026","MANHATTAN COMMUNITY BOARD #6","PERSONAL SERVICES","271,312"
"20250501","2026","MANHATTAN COMMUNITY BOARD #5","RENT AND ENERGY","190,433"
"20250501","2026","MANHATTAN COMMUNITY BOARD #5","OTHER THAN PERSONAL SERVICES","19,256"
"20250501","2026","MANHATTAN COMMUNITY BOARD #5","PERSONAL SERVICES","273,182"
"20250501","2026","MANHATTAN COMMUNITY BOARD #4","RENT","255,310"
"20250501","2026","MANHATTAN COMMUNITY BOARD #4","OTHER THAN PERSONAL SERVICES","9,440"
"20250501","2026","MANHATTAN COMMUNITY BOARD #4","PERSONAL SERVICES","276,658"
"20250501","2026","MANHATTAN COMMUNITY BOARD #3","RENT AND ENERGY","143,752"
"20250501","2026","MANHATTAN COMMUNITY BOARD #3","OTHER THAN PERSONAL SERVICES","13,920"
"20250501","2026","MANHATTAN COMMUNITY BOARD #3","PERSONAL SERVICES","287,014"
"20250501","2026","MANHATTAN COMMUNITY BOARD #2","RENT AND ENERGY","95,689"
"20250501","2026","MANHATTAN COMMUNITY BOARD #2","OTHER THAN PERSONAL SERVICES","15,107"
"20250501","2026","MANHATTAN COMMUNITY BOARD #2","PERSONAL SERVICES","273,640"
"20250501","2026","MANHATTAN COMMUNITY BOARD #1","OTHER THAN PERSONAL SERVICES","27,245"
"20250501","2026","MANHATTAN COMMUNITY BOARD #1","PERSONAL SERVICES","267,484"
"20250501","2026","OFFICE OF COLLECTIVE BARGAINING","OTHER THAN PERSONAL SERVICES","282,222"
"20250501","2026","OFFICE OF COLLECTIVE BARGAINING","PERSONAL SERVICES","2,471,071"
"20250501","2026","CONFLICTS OF INTEREST BOARD","OTHER THAN PERSONAL SERVICES","143,384"
"20250501","2026","CONFLICTS OF INTEREST BOARD","PERSONAL SERVICES","2,538,107"
"20250501","2026","DEPARTMENT OF YOUTH & COMMUNITY DEV","OFFICE OF NEIGHBORHOOD SAFETY- OTPS","177,004,296"
"20250501","2026","DEPARTMENT OF YOUTH & COMMUNITY DEV","OFFICE OF NEIGHBORHOOD SAFETY- PS","5,357,175"
"20250501","2026","DEPARTMENT OF YOUTH & COMMUNITY DEV","OTHER THAN PERSONAL SERVICES","662,543,748"
"20250501","2026","DEPARTMENT OF YOUTH & COMMUNITY DEV","PROGRAM SERVICES - PS","19,664,005"
"20250501","2026","DEPARTMENT OF YOUTH & COMMUNITY DEV","RUNAWAY AND HOMELESS YOUTH","54,309,949"
"20250501","2026","DEPARTMENT OF YOUTH & COMMUNITY DEV","YOUTH WORKFORCE AND CAREER TRAINING OTPS","307,791,029"
"20250501","2026","DEPARTMENT OF YOUTH & COMMUNITY DEV","YOUTH WORKFORCE AND CAREER TRAINING - PS","8,378,650"
"20250501","2026","DEPARTMENT OF YOUTH & COMMUNITY DEV","COMMUNITY DEVELOPMENT OTPS","134,890,857"
